n_proc	n_run	time
1	1	3.6456100433133543
2	1	2.059781229123473
3	1	2.396192551124841
4	1	1.0546672311611474
5	1	0.8044224851764739
6	1	0.6791307860985398
7	1	0.5612937049008906
8	1	0.45156669802963734
9	1	0.4168452206067741
10	1	0.3884601299650967
11	1	0.35486207343637943
12	1	0.34736072178930044
13	1	0.3215581211261451
14	1	0.31238995725288987
15	1	0.3025604900904
16	1	0.30940194241702557
17	1	0.34634131798520684
18	1	0.3378189909271896
19	1	0.3512978758662939
20	1	0.3488066531717777
21	1	0.3586932825855911
22	1	0.36968140583485365
23	1	0.36291079968214035
24	1	0.3696497920900583
25	1	0.38122964976355433
26	1	0.3633512957021594
27	1	0.39929216587916017
28	1	0.41096381610259414
29	1	0.36841157963499427
30	1	0.4096242259256542
31	1	0.40335102612152696
32	1	0.38871612306684256
1	2	4.836008886806667
2	2	2.0484638758935034
3	2	1.3220495698042214
4	2	1.030197748914361
5	2	0.7995656169950962
6	2	0.6582695753313601
7	2	0.5737080629914999
8	2	0.4759876849129796
9	2	0.4328878987580538
10	2	0.3875604816712439
11	2	0.36754198744893074
12	2	0.37290820479393005
13	2	0.33960676519200206
14	2	0.3129686717875302
15	2	0.30222951993346214
16	2	0.3003728841431439
17	2	0.30489193322137
18	2	0.31721840193495154
19	2	0.3333211182616651
20	2	0.3465396179817617
21	2	0.3500861870124936
22	2	0.34877687599509954
23	2	0.3811506978236139
24	2	0.3705274751409888
25	2	0.38596554286777973
26	2	0.3588078827597201
27	2	0.38463929388672113
28	2	0.3820722778327763
29	2	0.39884756272658706
30	2	0.4064352191053331
31	2	0.4105207771062851
32	2	0.40037414338439703
1	3	4.7599390940740705
2	3	2.033350536134094
3	3	1.357397013809532
4	3	1.0437088161706924
5	3	0.7940060491673648
6	3	0.6549350898712873
7	3	0.56433709198609
8	3	0.47149315709248185
9	3	0.4299368183128536
10	3	0.3853480741381645
11	3	0.35670015309005976
12	3	0.34039712185040116
13	3	0.31476153805851936
14	3	0.3110291906632483
15	3	0.3010939615778625
16	3	0.30422524828463793
17	3	0.3069595070555806
18	3	0.30651741474866867
19	3	0.3321171458810568
20	3	0.361146850977093
21	3	0.363981650210917
22	3	0.33908925391733646
23	3	0.35269972309470177
24	3	0.36649357806891203
25	3	0.39061499619856477
26	3	0.39160561189055443
27	3	0.36640071822330356
28	3	0.38502693036571145
29	3	0.3839884982444346
30	3	0.39942519878968596
31	3	0.3854021639563143
32	3	0.4159868289716542
